"","year","month","all","ep","epu","ep_count","epu_count"
"5","1985",1,59985,74.6245517409487,77.8581544741566,36,2
"4","1985",2,58961,54.8315351299545,79.2103491482892,26,2
"8","1985",3,68418,56.3395296484701,0,31,0
"1","1985",4,75011,72.9372893427318,62.2618202147989,44,2
"9","1985",5,78412,65.0164456061902,89.3419641661789,41,3
"7","1985",6,79103,58.1608396080953,88.5615222456597,37,3
"6","1985",7,81365,82.523574070807,143.499090399197,54,5
"2","1985",8,87246,82.661706457885,80.2957395662658,58,3
"12","1985",9,85422,71.3260612907615,27.3367598284533,49,1
"11","1985",10,97953,54.5849116571141,23.8396036677401,43,1
"10","1985",11,101158,63.9182692974802,0,52,0
"3","1985",12,100592,72.9307141816744,69.6425371222207,59,3
"17","1986",1,124178,92.1223619250489,244.464309900786,92,13
"16","1986",2,114337,76.1260235416785,142.964437465239,70,7
"20","1986",3,130844,71.2737072420339,124.928348922862,75,7
"13","1986",4,129030,85.7671950795448,36.1956242434494,89,2
"21","1986",5,130865,107.368486648334,267.660646246071,113,15
"19","1986",6,125305,49.6162002068376,37.2716283957726,50,2
"18","1986",7,126169,55.1896022235884,148.065575414952,56,8
"14","1986",8,130731,58.9705263401799,71.4493333047599,62,4
"24","1986",9,128605,55.1110771920709,54.4728594860108,57,3
"23","1986",10,140455,100.037570789464,149.631172137662,113,9
"22","1986",11,133765,62.2808034663016,69.828750362685,67,4
"15","1986",12,134273,57.4149373215617,34.7822823362275,62,2
"29","1987",1,145115,91.6839613355205,177.009734891138,107,11
"28","1987",2,141594,71.131516211187,16.4919466789987,81,1
"32","1987",3,157931,92.9044506900227,207.003373453761,118,14
"25","1987",4,154602,84.4493068040993,90.6260215805542,105,6
"33","1987",5,161273,74.0169978637599,86.8773085910031,96,6
"31","1987",6,150512,83.4395868314415,93.0886852104606,101,6
"30","1987",7,160263,76.0352022310755,58.283214417954,98,4
"26","1987",8,158512,68.2462833251549,88.3905583703243,87,6
"36","1987",9,163488,67.6902352534355,71.4168837488421,89,5
"35","1987",10,173557,54.4494322309964,40.3641575632122,76,3
"34","1987",11,163685,87.3596439741632,0,115,0
"27","1987",12,165028,56.5100283005107,84.9005271129556,75,6
"41","1988",1,174557,64.822536476855,80.2658397451655,91,6
"40","1988",2,171706,70.2438263998958,81.5985707453254,97,6
"44","1988",3,187244,74.3758616879358,74.8273065539982,112,6
"37","1988",4,184518,62.6709254298609,63.2773143559474,93,5
"45","1988",5,188778,81.0169013265198,37.1096319179058,123,3
"43","1988",6,184919,84.7248691407201,75.76811570686,126,6
"42","1988",7,183359,89.5145426876398,50.9418288290434,132,4
"38","1988",8,189432,82.049996396039,61.6358560873068,125,5
"48","1988",9,196168,113.461041156385,178.558228003508,179,15
"47","1988",10,196072,143.956797348967,131.00681218495,227,11
"46","1988",11,192187,98.9895434070381,157.955996372595,153,13
"39","1988",12,184966,78.6531018813599,63.1240524762967,117,5
"53","1989",1,221530,99.910090562124,189.739053695619,178,18
"52","1989",2,211548,99.334401309311,33.115331244911,169,3
"56","1989",3,244714,113.309923144787,229.01777893209,223,24
"49","1989",4,238454,106.376930162734,117.515027539038,204,12
"57","1989",5,245404,115.018081081835,95.1557716282596,227,10
"55","1989",6,237848,119.717565371512,137.450177310408,229,14
"54","1989",7,230685,133.137223298324,101.227244860574,247,10
"50","1989",8,240997,85.6482215553183,67.8270886627758,166,7
"60","1989",9,238723,88.0266833450573,0,169,0
"59","1989",10,258001,99.2813625672043,81.4587783868871,206,9
"58","1989",11,255236,86.2289771148622,146.384409601538,177,16
"51","1989",12,243647,70.9374593080623,67.0893747366599,139,7
"65","1990",1,271018,140.851714339546,163.708880086403,307,19
"64","1990",2,256182,134.932970685149,236.996268862448,278,26
"68","1990",3,295264,142.761498237857,134.448262799137,339,17
"61","1990",4,289540,225.032173424392,500.034410720801,524,62
"69","1990",5,300943,136.34888527614,93.1137403986592,330,12
"67","1990",6,287446,129.341179359491,121.857359194395,299,15
"66","1990",7,286978,128.685537997657,130.193154768164,297,16
"62","1990",8,302171,177.767703830512,332.301610733141,432,43
"72","1990",9,300318,206.605120271977,225.493178044333,499,29
"71","1990",10,325577,223.421028552195,136.275146165904,585,19
"70","1990",11,314661,116.968976657906,89.0543422184309,296,12
"63","1990",12,295187,145.326149091026,150.304902530452,345,19
"77","1991",1,328377,157.143804606954,170.669251359222,415,24
"76","1991",2,304451,182.562685700638,230.102121333102,447,30
"80","1991",3,340654,125.929506102182,143.953614692295,345,21
"73","1991",4,322521,140.33476889617,137.566401143667,364,19
"81","1991",5,332310,136.949223068334,112.432882456316,366,16
"79","1991",6,311771,96.516496274131,112.349803127912,242,15
"78","1991",7,308303,96.3922345285872,75.742392972697,239,10
"74","1991",8,324442,95.8130878079562,129.554412083487,250,18
"84","1991",9,320491,117.16907532562,138.437751023451,302,19
"83","1991",10,342665,107.409788464399,74.9617488763882,296,11
"82","1991",11,325502,118.039324598779,114.784459601042,309,16
"75","1991",12,312090,111.956255484245,97.270303677977,281,13
"89","1992",1,332245,151.197569181465,147.597028275486,404,21
"88","1992",2,324912,166.856310236381,222.798732087613,436,31
"92","1992",3,354299,147.050326878628,118.636780135396,419,18
"85","1992",4,344396,136.475784358409,149.169953650609,378,22
"93","1992",5,343983,170.257332625059,122.194679868454,471,18
"91","1992",6,320720,174.852721568965,131.057908971036,451,18
"90","1992",7,324362,121.904306514318,100.789395098458,318,14
"86","1992",8,325362,173.886739997147,186.605006576428,455,26
"96","1992",9,328794,164.508094162864,92.3285980731395,435,13
"95","1992",10,353089,231.015728402645,224.859635203161,656,34
"94","1992",11,332411,157.481160615767,112.398720767539,421,16
"87","1992",12,335697,215.204114351885,125.210807857057,581,18
"101","1993",1,339460,224.906321315473,165.097085823329,614,24
"100","1993",2,323191,699.449748529912,397.392991740605,1818,55
